t_d	Normalized Data	t_d	ΔT_ph	ΔT_e	ΔT_m
0	0	-0.169334667333667	6.09230957568651	36.6764822792993	18.1260970734999
0	0	-0.167583791895948	6.12124938342682	36.8074641110631	18.2075091967642
0	0	-0.165832916458229	6.15028352096001	36.9384126789568	18.2891380197538
0	0	-0.16408204102051	6.17941184548008	37.0693374256499	18.3709824701084
0	0	-0.162331165582792	6.20863422251884	37.2002454997916	18.4530415167004
0	0	-0.160580290145073	6.23795052394682	37.3311423647985	18.5353141606902
0	0	-0.158829414707354	6.26736062653576	37.4620322503785	18.6177994289472
0	0	-0.157078539269635	6.29686441090258	37.5929184634048	18.7004963691762
0	0	-0.155327663831916	6.32646176072316	37.7238036244959	18.7834040462713
0	0	-0.153576788394197	6.35615256214263	37.8546898338858	18.8665215395736
0	0	-0.151825912956478	6.38593670332962	37.985578801047	18.9498479407947
0	0	-0.150075037518759	6.41581407413828	38.1164719361438	19.0333823524384
0	0	-0.148324162081041	6.44578455063359	38.2473398515514	19.1171238197929
0	0	-0.146573286643322	6.47584797543874	38.3781445599958	19.2010712450308
0	0	-0.144822411205603	6.5060041664419	38.50887420885	19.2852234260384
0	0	-0.143071535767884	6.53625293254257	38.6395221966447	19.3695791254264
0	0	-0.141320660330165	6.56659407743989	38.7700840103915	19.454137086772
0	0	-0.139569784892446	6.59702740146285	38.9005566628357	19.5388960426475
0	0	-0.137818909454727	6.62755270287067	39.0309382766414	19.6238547204672
0	0	-0.136068034017009	6.65816977879948	39.1612278011489	19.7090118467742
0	0	-0.13431715857929	6.68887842596078	39.2914247941816	19.7943661504057
0	0	-0.132566283141571	6.71967844115952	39.4215292715113	19.8799163648313
0	0	-0.130815407703852	6.75056962168028	39.5515415869744	19.9656612298856
0	0	-0.129064532266133	6.78155176557476	39.6814623498513	20.0515994930453
0	0	-0.127313656828414	6.81262465995747	39.8112684116686	20.1377298580475
0	0	-0.125562781390696	6.84378805671198	39.9409116546496	20.2240508785668
0	0	-0.123811905952976	6.87504166867218	40.0703613577115	20.3105609422081
0	0	-0.122061030515258	6.90638518856526	40.19960729763	20.3972583539549
0	0	-0.120310155077539	6.93781830107846	40.3286426404532	20.4841413887558
0	0	-0.11855927963982	6.96934068584741	40.4574629752201	20.5712083044229
0	0	-0.116808404202101	7.00095201954662	40.5860656673857	20.658457350937
0	0	-0.115057528764382	7.0326519774022	40.7144493927179	20.7458867772698
0	0	-0.113306653326663	7.06444023430418	40.8426137991099	20.8334948364086
0	0	-0.111555777888944	7.09631646563041	40.9705592581446	20.9212797890679
0	0	-0.109804902451226	7.12828034785909	41.0982866808061	21.0092399064313
0	0	-0.108054027013507	7.16033155902448	41.2257973799768	21.0973734721717
0	0	-0.106303151575788	7.19246977319259	41.3530811887008	21.1856787581956
0	0	-0.104552276138069	7.22469462247547	41.4800631540062	21.2741538580289
0	0	-0.10280140070035	7.25700566436053	41.606667684685	21.3627965444835
