t_d_model_ps	DeltaT_lattice_K	DeltaT_electron_K
-0.634289526350901	295.001205613569	295.145350294628
-0.632154769846564	295.001236639102	295.148718266192
-0.630020013342228	295.001268383509	295.152154026348
-0.627885256837892	295.001300861258	295.155658673861
-0.625750500333556	295.00133408705	295.159233318832
-0.623615743829219	295.001368075825	295.162879082654
-0.621480987324883	295.001402842761	295.166597097973
-0.619346230820547	295.001438403278	295.170388508639
-0.617211474316211	295.001474773041	295.174254469652
-0.615076717811875	295.001511967959	295.178196147104
-0.612941961307538	295.001550004192	295.182214718122
-0.610807204803202	295.00158889815	295.186311370793
-0.608672448298866	295.001628666499	295.190487304097
-0.60653769179453	295.001669326156	295.194743727825
-0.604402935290193	295.001710894301	295.199081862499
-0.602268178785857	295.001753388371	295.203502939282
-0.600133422281521	295.001796826068	295.208008199884
-0.597998665777185	295.001841225357	295.212598896461
-0.595863909272848	295.001886604471	295.217276291514
-0.593729152768512	295.001932981913	295.222041657772
-0.591594396264176	295.001980376457	295.226896278081
-0.58945963975984	295.002028807151	295.231841445276
-0.587324883255504	295.002078293317	295.236878462059
-0.585190126751167	295.002128854558	295.242008640856
-0.583055370246831	295.002180510754	295.247233303686
-0.580920613742495	295.002233282069	295.252553782006
-0.578785857238159	295.00228718895	295.257971416562
-0.576651100733823	295.002342252131	295.263487557228
-0.574516344229486	295.002398492634	295.269103562844
-0.57238158772515	295.002455931768	295.274820801037
-0.570246831220814	295.002514591138	295.280640648051
-0.568112074716478	295.00257449264	295.286564488553
-0.565977318212141	295.002635658466	295.29259371545
-0.563842561707805	295.002698111106	295.298729729682
-0.561707805203469	295.002761873346	295.304973940025
-0.559573048699133	295.002826968275	295.311327762873
-0.557438292194796	295.002893419285	295.317792622021
-0.55530353569046	295.002961250068	295.324369948443
-0.553168779186124	295.003030484625	295.331061180053
-0.551034022681788	295.003101147261	295.337867761471
-0.548899266177452	295.003173262592	295.344791143774
-0.546764509673115	295.00324685554	295.351832784243
-0.544629753168779	295.00332195134	295.358994146103
-0.542494996664443	295.003398575539	295.366276698254
-0.540360240160107	295.003476753997	295.373681914996
-0.53822548365577	295.003556512888	295.38121127575
-0.536090727151434	295.003637878702	295.388866264765
-0.533955970647098	295.003720878245	295.396648370824
-0.531821214142762	295.003805538641	295.404559086938
-0.529686457638425	295.003891887332	295.41259991004
-0.527551701134089	295.00397995208	295.420772340659
-0.525416944629753	295.004069760966	295.429077882602
-0.523282188125417	295.004161342393	295.437518042617
-0.521147431621081	295.004254725083	295.446094330054
-0.519012675116744	295.004349938082	295.454808256518
-0.516877918612408	295.004447010758	295.463661335513
-0.514743162108072	295.0045459728	295.472655082082
-0.512608405603736	295.004646854222	295.481791012439
-0.5104736490994	295.004749685361	295.491070643586
-0.508338892595063	295.004854496876	295.500495492937
-0.506204136090727	295.004961319752	295.510067077925
-0.504069379586391	295.005070185294	295.5197869156
-0.501934623082055	295.005181125133	295.529656522229
-0.499799866577718	295.005294171224	295.539677412879
-0.497665110073382	295.005409355841	295.549851101004
-0.495530353569046	295.005526711586	295.560179098011
-0.49339559706471	295.005646271379	295.570662912831
-0.491260840560374	295.005768068462	295.581304051479
-0.489126084056037	295.005892136401	295.592104016604
-0.486991327551701	295.006018509079	295.603064307037
-0.484856571047365	295.0061472207	295.61418641733
-0.482721814543029	295.006278305787	295.625471837287
-0.480587058038692	295.006411799178	295.636922051491
