t_d_model_ps	DeltaT_lattice_K	DeltaT_electron_K
-3.10406937958639	295	295.000000000001
-3.09939959973316	295	295.000000000001
-3.09472981987992	295	295.000000000001
-3.09006004002668	295	295.000000000001
-3.08539026017345	295	295.000000000001
-3.08072048032021	295	295.000000000001
-3.07605070046698	295	295.000000000001
-3.07138092061374	295	295.000000000001
-3.06671114076051	295	295.000000000001
-3.06204136090727	295	295.000000000001
-3.05737158105404	295	295.000000000001
-3.0527018012008	295	295.000000000001
-3.04803202134756	295	295.000000000001
-3.04336224149433	295	295.000000000001
-3.03869246164109	295	295.000000000001
-3.03402268178786	295	295.000000000001
-3.02935290193462	295	295.000000000001
-3.02468312208139	295	295.000000000001
-3.02001334222815	295	295.000000000001
-3.01534356237492	295	295.000000000001
-3.01067378252168	295	295.002829599483
-3.00600400266845	295.000001304268	295.005478054057
-3.00133422281521	295.000003828593	295.007985756842
-2.99666444296197	295.000007507455	295.010375081014
-2.99199466310874	295.000012285693	295.012660852547
-2.9873248832555	295.000018115017	295.014918953723
-2.98265510340227	295.000024982142	295.017200537505
-2.97798532354903	295.000032897372	295.019505618644
-2.9733155436958	295.000041871012	295.021834331416
-2.96864576384256	295.000051913425	295.024186735749
-2.96397598398933	295.000063035	295.026169878637
-2.95930620413609	295.000075064991	295.027792123875
-2.95463642428285	295.000087836605	295.029076344602
-2.94996664442962	295.00010119368	295.030041830006
-2.94529686457638	295.000114989026	295.030905027285
-2.94062708472315	295.0001291753	295.032117749805
-2.93595730486991	295.000143913433	295.0336511463
-2.93128752501668	295.000159350968	295.03548350751
-2.92661774516344	295.000175625361	295.037596992402
-2.92194796531021	295.000192865771	295.039936070985
-2.91727818545697	295.000211175696	295.042469287828
-2.91260840560374	295.000230644081	295.045188100782
-2.9079386257505	295.000251355891	295.048084411552
-2.90326884589726	295.000273392316	295.051145195006
-2.89859906604403	295.0002968285	295.053954979244
-2.89392928619079	295.000321548048	295.056536018621
-2.88925950633756	295.000347444886	295.058904907421
-2.88458972648432	295.00037442065	295.061075197676
-2.87991994663109	295.000402383275	295.063031754173
-2.87525016677785	295.000431233767	295.064744418917
-2.87058038692462	295.000460859284	295.0662267722
-2.86591060707138	295.0004911533	295.067490707537
